"REQID","REQID_expanded","annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
"2158",1912,447,"6","2026-05-28T08:06:36.188014Z",439,17.665,"requirement","The system must accommodate orders for compounded drugs or drug mixtures that may contain more than one NDC number for the ingredients.","2026-05-28T08:06:36.188025Z"
"41250",29660,550,"6","2026-05-28T12:20:31.702714Z",440,14570.971,"requirement","Fossi (Forecast System for Stock Pool Optimisation and Information) functionalities (equivalent to current MBKS DCVD version) will be integrated in SSS.","2026-05-28T12:20:31.702725Z"
"30005-wikipedia",30005,551,"6","2026-05-28T12:20:57.388899Z",441,24.251,"contextual_auxiliary","Also preserved fish, preserved poultry, offal, avocado, banana skins, broad bean pods and pickled or smoked herring must be avoided.","2026-05-28T12:20:57.388909Z"
"2541",2303,552,"6","2026-05-28T12:23:22.509624Z",442,99.147,"requirement","The system should provide a way to merge allergies that have been entered in a duplicate patient chart.","2026-05-28T12:23:22.509635Z"
"24827",13332,553,"6","2026-05-28T12:23:43.369510Z",443,17.443,"requirement","The Operational radio shall conform to IP 54 [IEC 529/EN 60529] as a minimum.","2026-05-28T12:23:43.369522Z"
"65578-wikipedia",65578,554,"6","2026-05-28T12:23:57.079379Z",444,12.694,"contextual_auxiliary","Thurgood Marshall is nominated as the first African American justice on the United States Supreme Court.","2026-05-28T12:23:57.079390Z"
"1392",1097,555,"6","2026-05-28T12:24:20.050102Z",445,21.983,"requirement","User interface should be able to provide an ability to specify whether a specific task in a milestone.","2026-05-28T12:24:20.050114Z"
"2134",1886,556,"6","2026-05-28T12:24:45.292759Z",446,24.311,"requirement","At discharge and each change in level of care, the system shall provide the ability to designate which current medications are being continued / discontinued.","2026-05-28T12:24:45.292770Z"
"19064",7138,557,"6","2026-05-28T12:25:46.346531Z",447,60.104,"requirement","The MultiMahjongClient must send this game initialisation information to the MultiMahjongServer so that the MultiMahjongServer can create a new game.","2026-05-28T12:25:46.346543Z"
"28838",17502,558,"6","2026-05-28T12:26:22.349414Z",448,30.955,"requirement","At any time on an open Supplementary Logical Channel the OPEN may receive a request to either open or close a Supplementary Logical Channel.","2026-05-28T12:26:22.349425Z"
"42247",30740,559,"6","2026-05-28T12:27:53.583063Z",449,90.271,"requirement","MCG POS must support the pausing of an activity in execution and remind the lead owner about the paused activity.","2026-05-28T12:27:53.583074Z"
"27102",15831,560,"6","2026-05-28T12:28:05.131797Z",450,10.618,"requirement","The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.","2026-05-28T12:28:05.131808Z"
"21722",9913,561,"6","2026-05-28T12:28:56.913405Z",451,50.369,"contextual_auxiliary","Telescopes system quickly to a safe state upon detection of danger.be analyzed during the functional speciﬁcation phase of the software.network into the Gemini 8m Telescopes.protected from intrusion, whether the purpose is to access private data or to be destructive.a well designed network gateway acting as a ﬁrewall.other systems, though status information should still be provided for use by other systems.users at unauthorized access levels.","2026-05-28T12:28:56.913416Z"
"43285",31595,562,"6","2026-05-28T12:29:24.892339Z",452,27.035,"contextual_auxiliary","The customer must then be able to choose from these different router models (see further requirements).The details can be found in the ""20080430_InAc_Business_Plan_Attachment_V1"" document attached to the business plan for Internet Access.","2026-05-28T12:29:24.892351Z"
"9655-wikipedia",9655,563,"6","2026-05-28T12:30:29.355205Z",453,62.374,"contextual_auxiliary","Hal is given a ring that grants him superpowers, and must confront Parallax, who threatens to upset the balance of power in the universe.","2026-05-28T12:30:29.355216Z"
"40941",29286,564,"6","2026-05-28T12:30:58.105896Z",454,27.713,"contextual_auxiliary","Comment: The required reports will be defined in the specification phase.","2026-05-28T12:30:58.105909Z"
"26366",15018,565,"6","2026-05-28T12:32:20.926534Z",455,81.787,"system_related_auxiliary","itself as shown in Figure 11.economic operator data (for example by uploading attestations to verify these data).operator data must initially be provided by an economic operator (e.g.VAT number, social insurance number of thompany etc.","2026-05-28T12:32:20.926544Z"
"28847",17514,566,"6","2026-05-28T12:33:13.870268Z",456,10.619,"requirement","The contents of the GlobalPlatform Registry may be updated in response to:   An internal OPEN invoked action,   An authorized Application invoked action.","2026-05-28T12:33:13.870279Z"
"72392-wikipedia",72392,567,"6","2026-05-28T12:33:20.544699Z",457,5.186,"contextual_auxiliary","Brunnadern was a municipality in Toggenburg in the canton of St.Gallen in Switzerland.","2026-05-28T12:33:20.544710Z"
"64401-wikipedia",64401,568,"6","2026-05-28T12:33:28.705443Z",458,7.259,"contextual_auxiliary","The Australian flag is the most important flag flown in Australia, and must be given more importance than flags from other countries.","2026-05-28T12:33:28.705456Z"
"37253-wikipedia",37253,569,"6","2026-05-28T12:33:40.273850Z",459,10.63,"contextual_auxiliary","Sometimes, poisons have an antidote.","2026-05-28T12:33:40.273861Z"
"21182",9306,570,"6","2026-05-28T12:34:59.590074Z",460,78.063,"system_related_auxiliary","To conclude, all needed software invoked by the frontend is included in PeaZip packages (available under suitable licenses, as open source or royalty free) so no custom package is needed to be installed to make PeaZip work (with the possible exception of some standard gtk/gdk related libraries needed to run PeaZip, Gwrap and Pea binaries, which may be missing in some computer systems, but are well known, trustable and widely available).","2026-05-28T12:34:59.590086Z"
"16031-wikipedia",16031,571,"6","2026-05-28T12:42:54.383958Z",461,190.157,"contextual_auxiliary","Indeed, it would not be compassionate to ignore someone's need, though the way one fulfills that need may vary.","2026-05-28T12:42:54.383969Z"
"23918",12406,572,"6","2026-05-28T12:43:19.289217Z",462,21.948,"system_related_auxiliary","The solution must be produced in a timely manner – see time restrictions.","2026-05-28T12:43:19.289228Z"
"20412-wikipedia",20412,573,"6","2026-05-28T12:44:08.416399Z",463,48.206,"contextual_auxiliary","In Trop v Dulles (1958) the Court agreed with the view that what are prohibited ""cruel and unusual punishments"" should change over time based on punishments that offend society's ""evolving sense of decency.","2026-05-28T12:44:08.416410Z"
"33026-wikipedia",33026,574,"6","2026-05-28T12:45:27.078378Z",464,59.535,"system_related_auxiliary","In the context of exception handling, a program is said to be exception-safe, if exceptions that occur will not produce side-effects (such as memory leaks), will not change stored data so that it becomes unreadable, or generate output that is invalid.","2026-05-28T12:45:27.078389Z"
"36811",23975,575,"6","2026-05-28T12:46:15.558082Z",465,47.376,"system_related_auxiliary","The Lock, Save and Undo functions regulate how changes are handled.","2026-05-28T12:46:15.558094Z"
"21667",9832,576,"6","2026-05-28T12:48:55.863060Z",466,159.099,"system_related_auxiliary","Should a subsystem fail (e.g.restart with the remaining equipment.reconﬁguration procedure.the local connections and interfaces to the control electronics.a procedure to replace faulty cards and/or assemblies.to do so.","2026-05-28T12:48:55.863073Z"
"4649",4147,577,"6","2026-05-28T12:49:21.182250Z",467,23.714,"requirement","SRS 64 - Libwarc and the bindings to its functionality shall enable the use of libwarc's iterators described in SRS 16-20 to be used within Java v1.and and later, using Java's new container iterators, such as ""for"" and ""foreach"".","2026-05-28T12:49:21.182261Z"
"42610",31445,578,"6","2026-05-28T12:49:40.986460Z",468,18.872,"system_related_auxiliary","Layer contains the technical logic and the lowest layer the database in which the technically processed data is stored.","2026-05-28T12:49:40.986472Z"
"25916",14544,579,"6","2026-05-28T12:50:04.093618Z",469,22.256,"contextual_auxiliary","Once this is done the user is free to access his data.","2026-05-28T12:50:04.093630Z"
"34142",19808,580,"6","2026-05-28T12:50:26.155738Z",470,20.468,"system_related_auxiliary","Display error message on the MFD and DKU in case of missing input TMS-SRS-FEAS-45419 Precondition:  Feasibility calculation is not possible because of missing input data (maybe on DKU or missing input data e.g.from IRS).","2026-05-28T12:50:26.155749Z"
"36876-wikipedia",36876,581,"6","2026-05-28T12:51:27.292097Z",471,39.558,"contextual_auxiliary","Suárez plays in the game as a midfielder.","2026-05-28T12:51:27.292109Z"
"33807",19182,582,"6","2026-05-28T12:53:35.174838Z",472,126.874,"system_related_auxiliary","DMG_SET_COMMANDS: Automatically centre symbol If IN_DMGx_MAP_STATUS.DMGx_MTCC_OP_MODE_ACTUAL = ""AUT"" and  IN_DMGx_MAP_STATUS.DMGx_MTCC_ROT_POINT = ""RP_DECENTERED"" and  IN_DMGx_MAP_STATUS.DMGx_MTCC_DIRECTION_MODE /= ""NUP"" and the IN_NAV_DMG_FLIGHT_COND changes to Hover (aircraft speed < 20 knots) then the MST_OPF_DMG shall cause the aircraft symbol to be displayed in the center of the map by sending the conrol command 22:  - MTCC_DMGx_SCALE = 0 (no change);  - MTCC_DMGx_ZOOM = 0 (no change);  - MTCC_DMGx_ROTATION_POINT = RP_CENTERED;  - MTCC_DMGx_POSITION_MODE = IN_DMGx_MAP_STATUS.DMGx_MTCC_MAP_POS_MODE;  - MTCC_DMGx_DIRECTION_MODE = IN_DMGx_MAP_STATUS.DMGx_MTCC_DIRECTION_MODE;  - MTCC_DMGx_MAP_SOURCE = IN_DMGx_MAP_STATUS.DMGx_MTCC_MAP_SOURCE ;  - MTCC_DMGx_MAP_TYPE = IN_DMGx_MAP_STATUS.","2026-05-28T12:53:35.174849Z"
