"REQID","REQID_expanded","annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
"2158",1912,244,"4","2026-05-27T08:50:30.503027Z",235,16.608,"requirement","The system must accommodate orders for compounded drugs or drug mixtures that may contain more than one NDC number for the ingredients.","2026-05-27T08:50:30.503040Z"
"41250",29660,245,"4","2026-05-27T08:50:42.557963Z",236,11.607,"requirement","Fossi (Forecast System for Stock Pool Optimisation and Information) functionalities (equivalent to current MBKS DCVD version) will be integrated in SSS.","2026-05-27T08:50:42.557974Z"
"30005-wikipedia",30005,246,"4","2026-05-27T08:51:12.181213Z",237,29.253,"contextual_auxiliary","Also preserved fish, preserved poultry, offal, avocado, banana skins, broad bean pods and pickled or smoked herring must be avoided.","2026-05-27T08:51:12.181227Z"
"2541",2303,345,"4","2026-05-27T09:22:27.291735Z",238,21.049,"requirement","The system should provide a way to merge allergies that have been entered in a duplicate patient chart.","2026-05-27T09:22:27.291746Z"
"24827",13332,247,"4","2026-05-27T08:51:23.834610Z",239,11.272,"requirement","The Operational radio shall conform to IP 54 [IEC 529/EN 60529] as a minimum.","2026-05-27T08:51:23.834622Z"
"65578-wikipedia",65578,248,"4","2026-05-27T08:51:41.751814Z",240,17.572,"contextual_auxiliary","Thurgood Marshall is nominated as the first African American justice on the United States Supreme Court.","2026-05-27T08:51:41.751827Z"
"1392",1097,249,"4","2026-05-27T08:51:53.690380Z",241,11.591,"requirement","User interface should be able to provide an ability to specify whether a specific task in a milestone.","2026-05-27T08:51:53.690390Z"
"2134",1886,250,"4","2026-05-27T08:52:10.115328Z",242,16.09,"requirement","At discharge and each change in level of care, the system shall provide the ability to designate which current medications are being continued / discontinued.","2026-05-27T08:52:10.115344Z"
"19064",7138,251,"4","2026-05-27T08:52:21.875469Z",243,11.4,"requirement","The MultiMahjongClient must send this game initialisation information to the MultiMahjongServer so that the MultiMahjongServer can create a new game.","2026-05-27T08:52:21.875479Z"
"28838",17502,252,"4","2026-05-27T08:52:44.084820Z",244,21.815,"requirement","At any time on an open Supplementary Logical Channel the OPEN may receive a request to either open or close a Supplementary Logical Channel.","2026-05-27T08:52:44.084833Z"
"42247",30740,253,"4","2026-05-27T08:52:54.962084Z",245,10.533,"requirement","MCG POS must support the pausing of an activity in execution and remind the lead owner about the paused activity.","2026-05-27T08:52:54.962096Z"
"27102",15831,254,"4","2026-05-27T08:53:06.442197Z",246,11.128,"requirement","The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.","2026-05-27T08:53:06.442211Z"
"21722",9913,255,"4","2026-05-27T08:55:35.413816Z",247,148.611,"system_related_auxiliary","Telescopes system quickly to a safe state upon detection of danger.be analyzed during the functional speciﬁcation phase of the software.network into the Gemini 8m Telescopes.protected from intrusion, whether the purpose is to access private data or to be destructive.a well designed network gateway acting as a ﬁrewall.other systems, though status information should still be provided for use by other systems.users at unauthorized access levels.","2026-05-27T08:55:35.413828Z"
"43285",31595,256,"4","2026-05-27T08:55:54.008443Z",248,45.400999999999996,"system_related_auxiliary","The customer must then be able to choose from these different router models (see further requirements).The details can be found in the ""20080430_InAc_Business_Plan_Attachment_V1"" document attached to the business plan for Internet Access.","2026-05-27T08:55:54.008458Z"
"9655-wikipedia",9655,257,"4","2026-05-27T08:56:03.882564Z",249,9.512,"contextual_auxiliary","Hal is given a ring that grants him superpowers, and must confront Parallax, who threatens to upset the balance of power in the universe.","2026-05-27T08:56:03.882576Z"
"40941",29286,258,"4","2026-05-27T08:57:01.265800Z",250,61.415,"system_related_auxiliary","Comment: The required reports will be defined in the specification phase.","2026-05-27T08:57:01.265812Z"
"26366",15018,259,"4","2026-05-27T08:57:25.107968Z",251,33.441,"system_related_auxiliary","itself as shown in Figure 11.economic operator data (for example by uploading attestations to verify these data).operator data must initially be provided by an economic operator (e.g.VAT number, social insurance number of thompany etc.","2026-05-27T08:57:25.107983Z"
"28847",17514,260,"4","2026-05-27T08:57:38.139285Z",252,12.646,"requirement","The contents of the GlobalPlatform Registry may be updated in response to:   An internal OPEN invoked action,   An authorized Application invoked action.","2026-05-27T08:57:38.139296Z"
"72392-wikipedia",72392,261,"4","2026-05-27T08:57:45.345697Z",253,6.685,"contextual_auxiliary","Brunnadern was a municipality in Toggenburg in the canton of St.Gallen in Switzerland.","2026-05-27T08:57:45.345714Z"
"64401-wikipedia",64401,262,"4","2026-05-27T08:57:53.827781Z",254,8.119,"contextual_auxiliary","The Australian flag is the most important flag flown in Australia, and must be given more importance than flags from other countries.","2026-05-27T08:57:53.827793Z"
"37253-wikipedia",37253,263,"4","2026-05-27T08:57:59.681236Z",255,5.504,"contextual_auxiliary","Sometimes, poisons have an antidote.","2026-05-27T08:57:59.681247Z"
